Variable,Label
DP02_0019EA,Annotation of Estimate!!RELATIONSHIP!!Population in households!!Householder
DP02_0126E,Estimate!!ANCESTRY!!Total population!!Arab
DP02_0072EA,Annotation of Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability
DP02_0069PMA,Annotation of Percent Margin of Error!!VETERAN STATUS!!Civilian population 18 years and over
DP02_0057PMA,Annotation of Percent Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)
DP02_0041MA,"Annotation of Margin of Error!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old"
DP02_0070PMA,Annotation of Percent Margin of Error!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
DP02_0125E,Estimate!!ANCESTRY!!Total population!!American
DP02_0054PE,"Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
DP02_0108MA,"Annotation of Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa"
DP02_0124E,Estimate!!ANCESTRY!!Total population
DP02_0098MA,Annotation of Margin of Error!!YEAR OF ENTRY!!Population born outside the United States
DP02_0082PMA,Annotation of Percent Margin of Error!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.
DP02_0006EA,"Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
DP02_0139EA,Annotation of Estimate!!ANCESTRY!!Total population!!Norwegian
DP02_0045PMA,Annotation of Percent Margin of Error!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren
DP02_0123E,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well"""
DP02_0082PEA,Annotation of Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.
DP02_0122E,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages
DP02_0143PE,Percent!!ANCESTRY!!Total population!!Scotch-Irish
DP02_0130MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!English
DP02_0085EA,Annotation of Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state
DP02_0010PE,"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present"
DP02_0121E,"Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages!!Speak English less than ""very well"""
DP02_0130PE,Percent!!ANCESTRY!!Total population!!English
DP02_0120E,Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Asian and Pacific Islander languages
DP02_0054MA,"Annotation of Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
DP02_0067PE,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher
DP02_0094PEA,Annotation of Percent!!PLACE OF BIRTH!!Total population!!Foreign born
DP02_0123PMA,"Annotation of Percent Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well"""
DP02_0132PEA,Annotation of Percent!!ANCESTRY!!Total population!!French Canadian
DP02_0072MA,Annotation of Margin of Error!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability
DP02_0085PE,Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state
DP02_0019MA,Annotation of Margin of Error!!RELATIONSHIP!!Population in households!!Householder
DP02_0113EA,Annotation of Estimate!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only
DP02_0005PEA,Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years
DP02_0144PEA,Annotation of Percent!!ANCESTRY!!Total population!!Scottish
DP02_0037EA,Annotation of Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months
DP02_0100EA,Annotation of Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later
DP02_0111PMA,"Annotation of Percent Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Northern America"
DP02_0090EA,Annotation of Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States
DP02_0139MA,Annotation of Margin of Error!!ANCESTRY!!Total population!!Norwegian
DP02_0017PEA,Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size
DP02_0072PE,Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability
DP02_0019PE,Percent!!RELATIONSHIP!!Population in households!!Householder
DP02_0006MA,"Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
DP02_0094PMA,Annotation of Percent Margin of Error!!PLACE OF BIRTH!!Total population!!Foreign born
DP02_0041PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old"
DP02_0126EA,Annotation of Estimate!!ANCESTRY!!Total population!!Arab
DP02_0042PEA,"Annotation of Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old"
DP02_0129E,Estimate!!ANCESTRY!!Total population!!Dutch
DP02_0085MA,Annotation of Margin of Error!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state
DP02_0098PE,Percent!!YEAR OF ENTRY!!Population born outside the United States
DP02_0128E,Estimate!!ANCESTRY!!Total population!!Danish
DP02_0029PEA,Annotation of Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed
DP02_0127E,Estimate!!ANCESTRY!!Total population!!Czech
DP02_0108PE,"Percent!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population, excluding population born at sea!!Africa"
DP02_0030PEA,Annotation of Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced
DP02_0123PEA,"Annotation of Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!Other languages!!Speak English less than ""very well"""
DP02_0132PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!French Canadian
DP02_0011EA,"Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years"
DP02_0085E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state
DP02_0008PEA,"Annotation of Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
DP02_0090MA,Annotation of Margin of Error!!PLACE OF BIRTH!!Total population!!Native!!Born in United States
DP02_0113MA,Annotation of Margin of Error!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only
DP02_0126PE,Percent!!ANCESTRY!!Total population!!Arab
DP02_0084E,Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county
DP02_0068EA,Annotation of Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
DP02_0100MA,Annotation of Margin of Error!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later
DP02_0144PMA,Annotation of Percent Margin of Error!!ANCESTRY!!Total population!!Scottish
DP02_0113PE,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only
